variant,Totalvalue,Vrijstand,waterPieces,waterarea
40,17762355.389999997,361.8127771078286,2,"[11244, 7956]"
20,11311354.339999998,286.20568896421366,1,[19200]
60,25032005.819999997,391.17711895824783,3,"[5119, 6153, 7928]"
40,18563557.689999998,376.30256139134724,4,"[14090, 1542, 2060, 1508]"
20,10929795.0,291.0,1,[19200]
60,25190412.17,412.4330017237822,4,"[16783, 615, 1299, 503]"
40,18311293.85,376.7069875895297,1,[19200]
20,10767763.26,307.07150628271046,1,[19200]
60,25073358.44,407.4777440221135,2,"[18073, 1127]"
40,18303069.28,381.1971310390822,3,"[12297, 4337, 2566]"
20,11413175.879999999,343.58871399615305,1,[19200]
60,25014856.89,398.49773167251834,2,"[14646, 4554]"
40,18831794.96,408.30342340458554,4,"[15423, 3135, 309, 333]"
20,11410098.49,320.14326920499315,1,[19200]
60,25073369.83,398.97834320659695,4,"[8202, 5497, 5431, 70]"
40,18390700.830000002,394.5522433051568,4,"[12752, 2537, 482, 3429]"
20,10668639.36,319.4275240845089,2,"[14011, 5189]"
60,25081411.86,378.2978699443506,4,"[5382, 1530, 10152, 2136]"
40,18410275.81,373.21344301840486,1,[19200]
20,11621344.73,327.03078981825666,4,"[3353, 418, 9855, 5574]"
60,25063333.76,385.4295774624469,1,[19200]
40,18132567.91,354.4093040151786,2,"[8716, 10484]"
20,10997623.15,317.62609951144253,4,"[18886, 12, 28, 274]"
60,25108516.31,396.7746074223792,4,"[10087, 7882, 601, 630]"
40,18829524.19,399.32660095035817,4,"[1126, 7487, 5005, 5582]"
20,11089608.7,314.4084693803931,1,[19200]
60,25068900.16,388.7439694631794,2,"[17735, 1465]"
40,18523038.630000003,395.9776459252379,4,"[10937, 7630, 462, 171]"
20,11483510.139999999,335.2111274114193,2,"[18298, 902]"
60,25336037.77,411.4848852232947,4,"[17276, 997, 327, 600]"
40,18254141.46,383.26392509558167,1,[19200]
20,11320325.76,307.9186661013212,3,"[5926, 3154, 10120]"
60,25269192.669999998,422.60460750829253,3,"[5345, 2249, 11606]"
40,18662275.240000002,384.0579987530682,1,[19200]
20,10762929.05,314.9694796920999,1,[19200]
60,25142160.830000002,417.9774015530475,4,"[12926, 4605, 277, 1392]"
40,18461830.29,399.0549970466551,1,[19200]
20,10968032.319999998,328.9300952624422,2,"[11937, 7263]"
60,25038987.59,410.35234995535984,1,[19200]
40,18179363.82,366.8790288513779,4,"[15550, 3326, 292, 32]"
20,10954959.209999999,319.03657070528806,1,[19200]
60,25230201.23,399.07646063714174,2,"[15949, 3251]"
40,18350161.22,365.61022408928966,2,"[4072, 15128]"
20,10758259.67,311.73264429294136,1,[19200]
60,24981140.79,405.8987202414812,2,"[508, 18692]"
40,19185138.41,423.57378820706776,2,"[14346, 4854]"
20,11695349.35,357.53943276465975,3,"[2915, 6684, 9601]"
60,25640434.0,403.0798511460754,4,"[9160, 3486, 6237, 317]"
40,18194029.260000005,395.70767989627484,2,"[7291, 11909]"
20,11621744.09,322.8231172897498,2,"[16892, 2308]"
60,24842445.0,402.5,2,"[15413, 3787]"
40,18214472.509999998,391.2288232836142,2,"[4928, 14272]"
20,11328718.98,317.29870934861606,2,"[7375, 11825]"
60,25193226.37,393.14853491017885,3,"[12816, 5661, 723]"
40,18246542.040000003,369.4657885649199,1,[19200]
20,10946396.09,307.9539291649676,2,"[12972, 6228]"
60,24770997.65,368.8905384407143,2,"[5266, 13934]"
40,18571878.56,399.94803144816433,1,[19200]
20,11033904.11,304.4577920469469,3,"[11285, 71, 7844]"
60,25366563.560000002,403.01445240736507,1,[19200]
40,18756644.529999997,399.2069124882563,2,"[1387, 17813]"
20,11144623.25,331.3259738596323,2,"[18895, 305]"
60,24909600.210000005,376.1234471322558,2,"[1493, 17707]"
40,18538941.989999995,379.8266581759735,3,"[4554, 422, 14224]"
20,11073141.25,297.27717424006744,1,[19200]
60,25315165.61,405.3884057099042,3,"[2696, 6046, 10458]"
40,18279932.23,384.50167554522835,1,[19200]
20,11451177.7,349.27498183995107,4,"[7884, 3646, 3280, 4390]"
60,25071675.09,379.79338786598277,2,"[7915, 11285]"
40,17833444.37,369.40533766575953,2,"[2114, 17086]"
20,10920860.92,306.1171383376215,2,"[6593, 12607]"
60,25239226.82,410.55042194708403,2,"[15553, 3647]"
40,18399967.07,386.00596380991834,2,"[708, 18492]"
20,11299920.979999999,329.595298283297,4,"[15054, 2342, 213, 1591]"
60,25439412.56,400.36287241957876,3,"[1661, 295, 17244]"
40,18295882.41,374.9735556326403,4,"[2271, 10428, 1071, 5430]"
20,10960656.07,299.90662073661224,2,"[4725, 14475]"
60,25162848.310000002,401.1829770488017,4,"[6023, 4665, 446, 8066]"
40,18152728.42,380.09668790624744,1,[19200]
20,11033297.440000001,290.6933321205533,1,[19200]
60,25221367.16,419.9175834844785,4,"[14283, 73, 400, 4444]"
40,18412282.470000003,378.9073500676741,1,[19200]
20,10697201.660000002,289.24117780059936,3,"[15458, 3488, 254]"
60,25350792.49,431.06637297521075,3,"[1613, 300, 17287]"
40,18432545.81,384.1605359401112,1,[19200]
20,11183457.809999999,309.0673058259205,1,[19200]
60,25410411.21,407.05862138431183,3,"[9596, 7025, 2579]"
40,19017211.039999995,382.6666796143919,1,[19200]
20,10968077.83,331.15227469591593,4,"[10629, 1669, 6340, 562]"
60,25234542.15,417.34703521064546,1,[19200]
40,18517245.04,387.90646179211967,1,[19200]
20,10692647.42,300.78300396796135,1,[19200]
60,25162282.439999998,398.96684970833905,1,[19200]
40,18808525.51,387.09094172504444,2,"[12946, 6254]"
20,10662358.84,307.22275631067964,1,[19200]
60,25113935.189999998,408.1006070759452,1,[19200]
40,18597858.17,373.3215203082895,4,"[3767, 3270, 8519, 3644]"
20,11330375.53,338.7181906146329,4,"[18786, 223, 29, 162]"
60,25210421.189999998,409.98014691061667,4,"[13319, 3121, 856, 1904]"
40,18823447.570000004,417.5517631332125,3,"[4482, 2321, 12397]"
20,11346213.629999999,339.42498641747136,1,[19200]
60,24745418.58,383.76697516267694,3,"[9480, 7955, 1765]"
40,18312541.87,375.4717584559015,2,"[14772, 4428]"
20,11419757.9,283.07048091107555,3,"[4905, 9357, 4938]"
60,25476439.04,421.3560258192987,2,"[5407, 13793]"
40,18427566.02,399.91398530000976,4,"[16608, 2039, 326, 227]"
20,11121071.22,308.1088145534464,2,"[18865, 335]"
60,25368377.200000003,401.6828772221685,3,"[5822, 2439, 10939]"
40,17845648.0,355.91019210539093,1,[19200]
20,11302173.68,339.7570573177626,4,"[13431, 3792, 513, 1464]"
60,24798568.43,404.6919823203726,4,"[17059, 1160, 509, 472]"
40,18379513.27,374.06360805012116,4,"[12097, 6452, 231, 420]"
20,11652887.700000001,324.4601022313316,4,"[2528, 631, 5752, 10289]"
60,25341807.23,408.35029767475544,4,"[15736, 1690, 1463, 311]"
40,18408266.82,381.91239410795475,2,"[15575, 3625]"
20,10734040.329999998,327.0771028875774,3,"[11146, 3792, 4262]"
60,25150875.05,386.50240051332287,2,"[13019, 6181]"
40,18357558.47,384.823766102467,4,"[8915, 71, 21, 10193]"
20,11395489.73,319.62308015446,1,[19200]
60,25164411.54,400.2261814252238,3,"[10504, 1012, 7684]"
40,18198319.18,383.86715445111196,1,[19200]
20,11078441.01,306.3100594330458,4,"[10389, 1724, 1248, 5839]"
60,25375642.499999996,390.98229540069207,3,"[155, 7072, 11973]"
40,18262130.229999997,363.7455808196456,1,[19200]
20,11711408.25,336.9081563030991,3,"[11087, 1677, 6436]"
60,25381584.6,419.39855256239144,1,[19200]
40,18401997.67,399.0626205719316,3,"[15291, 3501, 408]"
20,10530454.52,305.76106121161297,2,"[19114, 86]"
60,25889696.46,432.01485781454784,4,"[14086, 4405, 394, 315]"
40,18791011.700000003,406.5443790418032,4,"[16616, 540, 1530, 514]"
20,11308486.98,317.5074930088914,3,"[10445, 1412, 7343]"
60,25522837.37,425.86216590296647,4,"[9188, 4729, 732, 4551]"
40,18308496.62,389.87144208449445,4,"[13807, 1291, 3640, 462]"
20,11701120.660000002,325.9545866351059,3,"[5628, 5287, 8285]"
60,25164041.299999997,390.26467795811,4,"[18530, 663, 4, 3]"
40,18555902.32,383.06531433360857,3,"[354, 12437, 6409]"
20,11046135.780000001,318.148101242771,4,"[320, 4458, 6063, 8359]"
60,25246797.44,415.93303437365927,1,[19200]
40,18495022.43,396.3848643240047,1,[19200]
20,10866240.219999999,318.0390630209911,2,"[1966, 17234]"
60,25237064.900000002,407.2110258737608,3,"[11070, 1874, 6256]"
40,18390806.080000002,349.54730190595546,2,"[18783, 417]"
20,10930683.16,303.4049901499061,2,"[3903, 15297]"
60,25138164.290000003,399.13807061997727,3,"[18906, 294, 0]"
40,18615931.65,405.0470709192536,1,[19200]
20,10816439.11,314.98055184426664,4,"[14622, 4140, 49, 389]"
60,24953381.47,385.75239383810145,2,"[15515, 3685]"
40,18232121.41,394.020379118192,4,"[8584, 857, 1003, 8756]"
20,10787300.08,314.72340057044255,3,"[449, 1479, 17272]"
60,24724817.310000002,383.2584064713651,2,"[9757, 9443]"
40,18612244.69,384.0900233455556,1,[19200]
20,10989003.54,340.3565549577098,3,"[27, 17780, 1393]"
60,25230531.640000004,400.21068007011866,4,"[15250, 2576, 538, 836]"
40,18393246.58,382.32674678939827,1,[19200]
20,11241806.44,326.272190591508,1,[19200]
60,25069610.58,409.06282260249776,1,[19200]
40,18259026.73,369.5801628478758,2,"[3449, 15751]"
20,10686346.28,297.44470447604243,4,"[9515, 4915, 2143, 2627]"
60,24607078.560000002,384.952514585241,1,[19200]
40,18288143.689999998,368.12733213786214,1,[19200]
20,10957424.700000001,301.10560843772816,2,"[14600, 4600]"
60,24931276.669999998,381.25854033980573,3,"[16044, 1626, 1530]"
40,18384955.42,400.37314775972317,2,"[17250, 1950]"
20,11625294.870000001,329.8581985566469,1,[19200]
60,25034439.150000002,390.3320974466388,1,[19200]
40,17978181.560000002,375.45432681344187,3,"[13291, 5670, 239]"
