variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,23310909.54,281.5737022,3,"[13319, 4750, 1131]"
60,23310814.99,280.4479649,4,"[91, 9578, 1694, 7837]"
60,23310580.22,282.6034357,1,[19200]
60,23310058.53,264.4847313,3,"[16737, 1557, 906]"
60,23309136.74,292.1348493,1,[19200]
60,23308833.89,279.0379985,2,"[1226, 17974]"
60,23308622.01,286.121976,2,"[17332, 1868]"
60,23308592.74,295.9890274,1,[19200]
60,23308383.45,286.146902,2,"[6401, 12799]"
60,23307514.76,280.5822588,4,"[10477, 6313, 2366, 44]"
60,23307261.96,288.7743784,1,[19200]
60,23307245.85,282.6659674,3,"[12395, 3150, 3655]"
60,23306519.93,280.7434165,2,"[18073, 1127]"
60,23305999.29,280.6030424,1,[19200]
60,23305947.93,281.3776575,2,"[4346, 14854]"
60,23305891.42,284.7773503,4,"[18774, 229, 61, 136]"
60,23305098.78,289.5458263,3,"[10392, 7397, 1411]"
60,23304929.15,283.9061561,1,[19200]
60,23304417.14,291.2431155,2,"[11631, 7569]"
60,23304396.58,270.4124027,3,"[2544, 9059, 7597]"
60,23304053.64,278.3169065,1,[19200]
60,23303298.01,288.0819725,4,"[11918, 1455, 5076, 751]"
60,23303091.17,294.1485293,4,"[11734, 5716, 1739, 11]"
60,23302762.98,280.3152956,2,"[1634, 17566]"
60,23302730.59,306.8169947,2,"[5719, 13481]"
60,23301819.76,283.2686828,4,"[5955, 2095, 2965, 8185]"
60,23300807.2,273.0332895,1,[19200]
60,23300465.47,271.2105648,1,[19200]
60,23300340.42,281.4287966,4,"[15902, 253, 2849, 196]"
60,23300032.09,280.9973128,4,"[3579, 10993, 1489, 3139]"
60,23299944.07,286.9642175,3,"[14774, 3108, 1318]"
60,23299407.67,282.7438061,4,"[13037, 2350, 207, 3606]"
60,23299231.16,284.8510998,3,"[12924, 6054, 222]"
60,23299048.93,283.3827046,1,[19200]
60,23299026.98,290.7741889,1,[19200]
60,23298639.34,283.5090049,1,[19200]
60,23298576.67,281.3503428,2,"[17455, 1745]"
60,23298362.21,272.5867212,1,[19200]
60,23298029.72,275.4409199,1,[19200]
60,23298008.34,290.2309817,3,"[16155, 1033, 2012]"
60,23297893.36,271.9558488,3,"[415, 17435, 1350]"
60,23297857.06,275.2735487,2,"[13151, 6049]"
60,23297673.06,275.7860595,2,"[14319, 4881]"
60,23297152.94,275.2424748,3,"[9711, 534, 8955]"
60,23296817.67,280.0759412,2,"[10427, 8773]"
60,23296802.7,280.9087407,1,[19200]
60,23296685.46,287.0254268,1,[19200]
60,23296602.43,288.4595089,4,"[1639, 11960, 352, 5249]"
60,23296543.08,282.9064913,4,"[16436, 2385, 278, 101]"
60,23296399.57,276.0162056,1,[19200]
60,23296186.82,283.7821663,1,[19200]
60,23296037.62,286.6122501,2,"[12564, 6636]"
60,23295813.44,283.8828247,3,"[13689, 1657, 3854]"
60,23295541.52,285.2322419,1,[19200]
60,23295386.8,284.9168413,3,"[18184, 152, 864]"
60,23294550.82,277.5987401,3,"[11403, 7392, 405]"
60,23294461.5,279.7307101,3,"[1807, 17329, 64]"
60,23294459.8,274.3907636,4,"[8557, 9569, 182, 892]"
60,23294248.55,266.1672593,3,"[17532, 466, 1202]"
60,23293877.44,289.0944041,3,"[9184, 7343, 2673]"
60,23293568,284.0288399,4,"[8742, 6793, 1846, 1819]"
60,23293524.45,283.1813719,4,"[8708, 4848, 4172, 1472]"
60,23293378.73,291.8117019,4,"[3259, 7064, 6294, 2583]"
60,23293282.6,284.4994559,2,"[6431, 12769]"
60,23293083.04,277.4338746,2,"[6730, 12470]"
60,23292645.2,297.8258191,3,"[15882, 2131, 1187]"
60,23292202.77,276.0180239,4,"[5067, 758, 9198, 4177]"
60,23292168.56,287.4113712,4,"[16715, 1062, 1130, 293]"
60,23290144.31,279.3334777,4,"[5001, 4278, 6868, 3053]"
60,23290048.71,274.7477935,4,"[4423, 5472, 3154, 6151]"
60,23289788.57,291.3115266,4,"[11106, 6765, 1223, 106]"
60,23289667.68,286.4458965,2,"[2797, 16403]"
60,23289563.53,268.1988508,4,"[785, 16348, 656, 1411]"
60,23289291.33,277.6106442,4,"[18659, 263, 221, 57]"
60,23287590,281,4,"[14258, 260, 440, 4242]"
60,23287315.05,277.3572878,3,"[1345, 12727, 5128]"
60,23287173.54,274.5072866,3,"[10326, 8693, 181]"
60,23287087,289.2588645,3,"[80, 9352, 9768]"
60,23286719.3,274.331948,1,[19200]
60,23286426.38,273.7396444,4,"[2347, 14329, 1991, 533]"
60,23286112.54,282.0982241,4,"[904, 16902, 277, 1117]"
60,23285614.45,287.0946891,4,"[15435, 931, 358, 2476]"
60,23285591.88,284.9251142,1,[19200]
60,23285394.65,288.8889622,3,"[3379, 14770, 1051]"
60,23284625.74,272.7056437,2,"[18128, 1072]"
60,23284542.34,284.3178211,4,"[7202, 4863, 4441, 2694]"
60,23283866.84,271.6648805,4,"[10608, 8319, 84, 189]"
60,23283156.25,289.9440085,4,"[4134, 2275, 5178, 7613]"
60,23282969.87,281.6917365,3,"[10809, 7324, 1067]"
60,23282736.54,286.5845409,4,"[2985, 1151, 3743, 11321]"
60,23282224.87,270.9007297,3,"[988, 17819, 393]"
60,23282095.33,277.8049088,2,"[5725, 13475]"
